,listing_id,price,borough,neighbourhood,price_per_month,latitude,longitude
0,2595,225,Manhattan, Midtown,6843.75,40.75362,-73.98377
1,3831,89,Brooklyn, Clinton Hill,2707.083333,40.68514,-73.95976
2,5099,200,Manhattan, Murray Hill,6083.333333,40.74767,-73.975
3,5178,79,Manhattan, Hell's Kitchen,2402.916667,40.76489,-73.98493
4,5238,150,Manhattan, Chinatown,4562.5,40.71344,-73.99037
5,5295,135,Manhattan, Upper West Side,4106.25,40.80316,-73.96545
6,5441,85,Manhattan, Hell's Kitchen,2585.416667,40.76076,-73.98867
7,5803,89,Brooklyn, South Slope,2707.083333,40.66829,-73.98779
8,6021,85,Manhattan, Upper West Side,2585.416667,40.79826,-73.96113
9,6848,140,Brooklyn, Williamsburg,4258.333333,40.70837,-73.95352
10,7097,215,Brooklyn, Fort Greene,6539.583333,40.69169,-73.97185
11,7322,140,Manhattan, Chelsea,4258.333333,40.74192,-73.99501
12,7726,99,Brooklyn, Crown Heights,3011.25,40.67592,-73.94694
13,8024,130,Brooklyn, Park Slope,3954.166667,40.68069,-73.97706
14,8025,80,Brooklyn, Park Slope,2433.333333,40.67989,-73.97798
15,8110,110,Brooklyn, Park Slope,3345.833333,40.68001,-73.97865
16,8490,120,Brooklyn, Bedford-Stuyvesant,3650,40.68371,-73.94028
17,8505,60,Brooklyn, Windsor Terrace,1825,40.65599,-73.97519
18,9518,44,Manhattan, Inwood,1338.333333,40.86482,-73.92106
19,9657,180,Manhattan, East Village,5475,40.7292,-73.98542
20,9668,50,Manhattan, Harlem,1520.833333,40.82245,-73.95104
21,9704,52,Manhattan, Harlem,1581.666667,40.81305,-73.95466
22,9782,55,Brooklyn, Greenpoint,1672.916667,40.72219,-73.93762
23,9783,50,Manhattan, Harlem,1520.833333,40.8213,-73.95318
24,10452,70,Brooklyn, Bedford-Stuyvesant,2129.166667,40.6831,-73.95473
25,10962,89,Brooklyn, South Slope,2707.083333,40.66869,-73.9878
26,11708,85,Brooklyn, Bushwick,2585.416667,40.70186,-73.92745
27,12048,40,Manhattan, Lower East Side,1216.666667,40.71401,-73.98917
28,12192,68,Manhattan, East Village,2068.333333,40.7229,-73.98199
29,12299,120,Brooklyn, South Slope,3650,40.66278,-73.97966
30,12318,135,Manhattan, Upper West Side,4106.25,40.79009,-73.97927
31,12343,150,Manhattan, Harlem,4562.5,40.81175,-73.94478
32,12627,150,Brooklyn, Prospect-Lefferts Gardens,4562.5,40.65944,-73.96238
33,12937,130,Queens, Long Island City,3954.166667,40.74771,-73.9474
34,12940,110,Brooklyn, Bedford-Stuyvesant,3345.833333,40.68111,-73.95591
