,listing_id,description,room_type
0,2595,Skylit Midtown Castle,entire home/apt
1,3831,Cozy Entire Floor of Brownstone,entire home/apt
2,5099,Large Cozy 1 BR Apartment In Midtown East,entire home/apt
3,5178,Large Furnished Room Near B'way,private room
4,5238,Cute & Cozy Lower East Side 1 bdrm,entire home/apt
5,5295,Beautiful 1br on Upper West Side,entire home/apt
6,5441,Central Manhattan/near Broadway,private room
7,5803,"Lovely Room 1, Garden, Best Area, Legal rental",private room
8,6021,Wonderful Guest Bedroom in Manhattan for SINGLES,private room
9,6848,Only 2 stops to Manhattan studio,entire home/apt
10,7097,Perfect for Your Parents + Garden,entire home/apt
11,7322,Chelsea Perfect,private room
12,7726,Hip Historic Brownstone Apartment with Backyard,entire home/apt
13,8024,CBG CtyBGd HelpsHaiti rm#1:1-4,private room
14,8025,CBG Helps Haiti Room#2.5,private room
15,8110,CBG Helps Haiti Rm #2,private room
16,8490,"MAISON DES SIRENES1,bohemian apartment",entire home/apt
17,8505,Sunny Bedroom Across Prospect Park,private room
18,9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room
19,9657,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt
20,9668,front room/double bed,private room
21,9704,Spacious 1 bedroom in luxe building,private room
22,9782,Loft in Williamsburg Area w/ Roof,private room
23,9783,back room/bunk beds,private room
24,10452,Large B&B Style rooms,private room
25,10962,"Lovely room 2 & garden; Best area, Legal rental",private room
26,11708,Cute apt in artist's home,entire home/apt
27,12048,LowerEastSide apt share shortterm 1,shared room
28,12192,ENJOY Downtown NYC!,private room
29,12299,Beautiful Sunny Park Slope Brooklyn,entire home/apt
30,12318,West Side Retreat,private room
31,12343,BEST BET IN HARLEM,entire home/apt
32,12627,Entire apartment in central Brooklyn neighborhood.,entire home/apt
33,12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room
34,12940,Charming Brownstone 3 - Near PRATT,entire home/apt
35,13394,Fort Greene brownstone,private room
36,13808,Blue Room for 2 in Brownstone for $1350 monthly,private room
37,14287,Cozy 1BD on Central Park West in New York City,entire home/apt
38,14290,* ORIGINAL BROOKLYN LOFT *,entire home/apt
39,14314,Greenpoint Place...Has It All!,entire home/apt
40,14322,Beautiful Apartment in Manhattan!!!,entire home/apt
41,14377,Williamsburg 1 bedroom Apartment,entire home/apt
42,14991,"Great Location, Manhattan Bedroom!",private room
43,15220,Best Location in NYC! TIMES SQUARE!,private room
